,article,qid,total_pageviews,description,category
0,1977_NestlÃ©_boycott,Q1498774,27259,boycott,Low-importance
1,2007_tuberculosis_scare,Q4609852,550,international health scare,Low-importance
2,2011_United_States_listeriosis_outbreak,Q4622783,871,disease outbreak in the United States,Low-importance
3,2014_California_Proposition_46,Q119129906,153,,Low-importance
4,24_Hour_Fitness,Q4631849,1122,US fitness center chain,Low-importance
5,996_working_hour_system,Q62568684,187186,"overtime work schedule in Mainland China, 9AM-9PM, 6 days per week",High-importance
6,A_Letter_to_Liberals,Q119154027,104385,2022 book by Robert F. Kennedy Jr.,Low-importance
7,Abdominal_exercise,Q3543774,190,exercise strengthening the abdominal muscles,Unknown-importance
8,Acadia_Healthcare,Q28407181,5202,multinational behavioral healthcare provider,Low-importance
9,Activity_tracker,Q16001686,146,device or application for monitoring/tracking fitness-related metrics,Low-importance
10,Acute_alcohol_poisoning,Q205972,3590,negative effect(s) induced by the ingestion of ethanol (alcohol),Mid-importance
11,Adrianne_Ho,Q42301576,1799,actress,Unknown-importance
12,AdvoCare,Q4686868,98,American health and wellness company,Low-importance
13,Aerobic_exercise,Q1152037,57567,physical exercise of low to high intensity that depends primarily on the aerobic energy-generating process,Mid-importance
14,Aerobics,Q215641,20936,form of physical exercise that combines rhythmic aerobic exercise with stretching and strength training routines,Unknown-importance
15,AerolÃ­neas_Argentinas_Flight_386,Q4688296,2327,Cholera outbreak,Low-importance
16,Aetna,Q26049,120214,American managed health care company,Low-importance
17,Affordable_Care_Act,Q1414593,678110,U.S. federal statute also known as Obamacare,Mid-importance
18,Age_and_health_concerns_about_Donald_Trump,Q129155144,170069,American political controversy,High-importance
19,Age_and_health_concerns_about_Joe_Biden,Q123080564,84601,American political controversy,Low-importance
20,Ageing,Q332154,88738,biological processes in a human body coupled to increasing age,High-importance
21,Agriculture_in_India,Q3351245,3829,history of agriculture in India,Mid-importance
22,Air_pollutants,Q131123,738,presence of dangerous substances in the atmosphere,High-importance
23,Air_pollution,Q131123,177584,presence of dangerous substances in the atmosphere,High-importance
24,Alan_Smith_(physiotherapist),Q4707786,689,physiotherapist (20th century),Low-importance
25,Alcohol_(chemistry),Q156,68048,any organic compound in which the hydroxyl functional group (–OH) is bound to a saturated carbon atom,Mid-importance
26,Alcohol_intoxication,Q205972,246059,negative effect(s) induced by the ingestion of ethanol (alcohol),Mid-importance
27,Alcoholic_beverage,Q154,304104,"drink containing alcohols, typically ethanol",Mid-importance
28,Alex_Azar,Q4716651,69385,American politician,Low-importance
29,Alison_Beam,Q124692782,936,American lawyer and lobbyist,Low-importance
30,Allied_health_professions,Q349843,24242,classification of health professions,Low-importance
31,Ally_Love_(fitness_instructor),Q96742379,41692,US fitness and lifestyle coach,Low-importance
32,Ally_Love_(sports_host),Q96742379,13534,US fitness and lifestyle coach,Low-importance
33,American_Health_Care_Act_of_2017,Q28908528,38162,legislative bill dealing with the repeal and replacement of the Affordable Care Act,Low-importance
34,American_health_care_system,Q1358017,230,health care system in the United States of America,Mid-importance
35,American_health_insurance,Q5691099,3597,overview about the health insurance in the United States,High-importance
36,American_health_insurance_system,Q5691099,5857,overview about the health insurance in the United States,High-importance
37,American_healthcare_system,Q1358017,808,health care system in the United States of America,Mid-importance
38,An_apple_a_day_keeps_the_doctor_away,Q482536,1651,English proverb,Low-importance
39,Anaerobic_exercise,Q483866,39932,physical exercise intense enough to cause lactate formation,High-importance
40,Anal_hygiene,Q484807,29740,hygienic practice that a person performs on the anal area of themselves after defecation,Low-importance
41,Anaphrodisiac,Q486061,28656,substance that quells or blunts the libido,Low-importance
42,Andrea_Baccarelli,Q41470166,413,Italian American epigeneticist and clinical endocrinologist,Low-importance
43,Andrew_Marks,Q26709623,391,American cardiologist and molecular biologist,Unknown-importance
44,Animal-assisted_therapy,Q606591,94,alternative therapy that involves animals as a form of treatment,Low-importance
45,Anna_Kaiser,Q36750100,1135,American fitness professional,Low-importance
46,AnnÃ­e_Mist_ÃÃ³risdÃ³ttir,Q16154216,3853,Icelandic CrossFit athlete,Low-importance
47,Anosmia_Awareness_Day,Q25304277,101,Day to spread awareness about individuals who lose sense of smell,Unknown-importance
48,Anthropometry,Q6656244,15256,human physiometrics,Low-importance
49,Antiseptic,Q274493,36236,"antimicrobial substance used to destroy germs causing disease, on skin or other tissue of a living being",Mid-importance
50,Anytime_Fitness,Q4778364,7476,"health club retail chain in the United States and elsewhere, owned by Self Esteem Brands",Low-importance
51,Apollo_Hospitals,Q4780321,331,chain of Indian private hospitals,Mid-importance
52,Aquafresh,Q17006249,111,Wikimedia list article,Mid-importance
53,Aquaphor,Q4782724,8919,brand of skin care ointments,Low-importance
54,Arm_&_Hammer,Q4792455,95786,brand of baking soda products by Church & Dwight,Low-importance
55,Army_Combat_Fitness_Test,Q67935434,290,Physical fitness test for the United States Army,Unknown-importance
56,Artistic_gymnastics_in_the_United_States,Q19872602,968,,Low-importance
57,Asana,Q466797,109146,postures in hatha yoga and modern yoga practice,Mid-importance
58,Ascension_(healthcare_system),Q96372437,51959,faith-based healthcare organization and subsidiary of Ascension,Low-importance
59,Athletic_training,Q4813769,129,healthcare profession,Unknown-importance
60,Average_human_height_by_country,Q16128414,1345672,Wikimedia list article,Low-importance
61,Aversion_to_happiness,Q18209757,343,People wanting to deliberately avoid positive emotions and / or happiness,Low-importance
62,Awareness_ribbon,Q153524,492,symbols meant to show support or raise consciousness for a cause,Mid-importance
63,Ayushman_Bharat_Yojana,Q55604588,352,health programme in India,Mid-importance
64,Aziz_Shavershian,Q2618609,188893,Russian-born Australian bodybuilder and Internet celebrity and peruvian,Mid-importance
65,B._K._S._Iyengar,Q557185,19998,Indian yoga teacher and scholar (1918–2014),Mid-importance
66,BP-5_Compact_Food,Q796874,235,compact dry emergency ration made with wheat flour,Low-importance
67,Baby2Baby,Q65068378,457,American nonprofit organization,Low-importance
68,Bain_de_Soleil,Q4848521,2839,discontinued brand of sunscreen,Mid-importance
69,Bally_Manufacturing,Q4851974,7444,former American corporation,Low-importance
70,Bally_Total_Fitness,Q4851976,5446,American fitness club chain originally part of Bally Manufacturing,Low-importance
71,Banana_equivalent_dose,Q2630196,102262,informal measurement of ionizing radiation exposure; approximately 0.1 microsievert,Low-importance
72,Barbara_Bush_(born_1981),Q153730,731333,American health care activist; daughter of George W. Bush (born 1981),Low-importance
73,Barbell,Q1043897,3890,exercise equipment used in weight training,Mid-importance
74,Barefoot,Q808132,10444,common term for the state of not wearing any footwear,Low-importance
75,Barre_(exercise),Q30314274,68694,form of physical exercise,Unknown-importance
76,Bath_&_Body_Works,Q810773,48930,"American retailer under the L Brands (formerly Limited Brands) umbrella, along with Victoria's Secret",Unknown-importance
77,Bath_salts,Q798972,500,"water-soluble, usually inorganic, solid products designed to be added to water during bathing",Low-importance
78,Bausch_&_Lomb,Q811857,29107,American company,Low-importance
79,Baylor_Scott_&_White_Health,Q41568258,333,"healthcare organization in Dallas, United States",Low-importance
80,Beiersdorf,Q201691,317,German personal care company,Low-importance
81,Bench_press,Q14093,45684,exercise of the upper body,Low-importance
82,Benefits_of_physical_activity,Q97358163,364,,Low-importance
83,Best_practice,Q830382,6457,method or technique that has been generally accepted as superior to alternatives either because it produces results that are better or because it has become a standard way of doing things,Mid-importance
84,Better_Access_Scheme,Q65075797,176,mental healthcare scheme run by the Australian government,Low-importance
85,Bicep_curl,Q3073715,106,bicep exercise,Low-importance
86,Bidet,Q371213,288176,plumbing fixture or type of sink intended for washing the genitalia and anus of the human body,Unknown-importance
87,Billy_Blanks,Q863030,109541,American fitness guru,Low-importance
88,Billy_Blanks_Jr.,Q107987204,16281,American fitness personality,Low-importance
89,Binaca_(Indian_brand),Q4913816,98,toothpaste brand in India,Low-importance
90,Black_spot_disease_(fish),Q25221973,209,fish disease,Unknown-importance
91,Bliss_point_(food),Q25203169,252,term for amount of ingredients to optimize food taste,Mid-importance
92,Bloating,Q4927059,23778,"abnormal general swelling, or increase in diameter of the abdominal area",Mid-importance
93,Blue_Cross_Blue_Shield,Q4929017,3315,federation of 36 separate United States health insurance organizations and companies,Low-importance
94,Blue_Cross_Blue_Shield_Association,Q4929017,210760,federation of 36 separate United States health insurance organizations and companies,Low-importance
95,Blue_Zone,Q3299670,87700,Disputed scientific concept of regions of the world where people are claimed to live longer than average,Mid-importance
96,Blue_Zones,Q3299670,4364,Disputed scientific concept of regions of the world where people are claimed to live longer than average,Mid-importance
97,Blue_zone,Q3299670,352556,Disputed scientific concept of regions of the world where people are claimed to live longer than average,Mid-importance
98,Body_massager,Q179415,330,"mechanical manipulation of skin, connective tissue and muscles through stretching, train and pressure stimulus",Low-importance
99,Body_roundness_index,Q131191528,2836,body scale based on waist circumference and height,Low-importance
100,Body_shaming,Q63522120,2119,discrimination based on appearance,Low-importance
101,Body_shape,Q1072278,6507,general shape of a person defined by the molding of skeletal structures and the distribution of muscles and fat,Mid-importance
102,Bodyweight_exercise,Q450743,91,strength-training exercise to provide resistance against gravity,Mid-importance
103,Bowflex,Q4950971,1515,Type of excercise equipment,Low-importance
104,"Brad_Johnson_(actor,_born_1959)",Q896805,114456,American actor (1959–2022),Low-importance
105,Brendan_Carr_(physician),Q107524430,766,US medical doctor and professor,Low-importance
106,Brett_Giroir,Q4962188,6164,American pediatrician and Assistant Secretary for Health,Low-importance
107,Bulletproof_Coffee,Q19559986,244,"Entrepreneur, businessman, biohacker and author",Low-importance
108,Burnout_(psychology),Q327988,273,"type of work-related stress, with symptoms characterized by feelings of energy depletion or exhaustion; increased mental distance from one’s job, or feelings of negativism or cynicism related to one's job; and reduced professional efficacy",High-importance
109,Burpee_(exercise),Q3270872,83174,"full body exercise based on squat thrusts, providing cardio and strength training",Low-importance
110,CPR,Q185325,33239,emergency procedure to maintain the blood flow to vital organs and to restore normal heart function after sudden cardiac arrest also restarting the heart,Mid-importance
111,CVS_Health,Q624375,242622,company,Low-importance
112,Calf_raises,Q580077,151,training exercise,Unknown-importance
113,Calico_(company),Q14932155,10625,American biotech company founded by Alphabet Inc.,Low-importance
114,California_Smog_Check_Program,Q5020967,78555,vehicle emission inspection program in the U.S. state of California,Low-importance
115,Calisthenics,Q2471790,443561,"form of exercise consisting of a variety of exercises, often rhythmical",Unknown-importance
116,Cancer_Act_1939,Q5031396,554,Act of Parliament of the United Kingdom,Low-importance
117,Carbon_monoxide_detector,Q3045295,1638,electronic detector that measures carbon monoxide (CO),Mid-importance
118,Cardiopulmonary_resuscitation,Q185325,149174,emergency procedure to maintain the blood flow to vital organs and to restore normal heart function after sudden cardiac arrest also restarting the heart,Mid-importance
119,Caregiver,Q553079,18653,person helping another with activities of daily living,Low-importance
120,Carissa_Etienne,Q15138398,1428,Caribbean physician,Mid-importance
121,Castile_soap,Q3302590,38361,olive oil-based soap,Low-importance
122,Cdc,Q583725,2636,United States government public health agency,High-importance
123,Centene_Corporation,Q5059102,84699,American multinational healthcare company,Low-importance
124,Center_for_Disease_Control,Q583725,2609,United States government public health agency,High-importance
125,Centers_for_Disease_Control,Q583725,2716,United States government public health agency,High-importance
126,Centers_for_Disease_Control_and_Prevention,Q583725,467941,United States government public health agency,High-importance
127,Central_Bathhouse_Vienna,Q190203,1094,Residential building with traditional bathing house (now a gay sauna) in Vienna,Unknown-importance
128,Chain-smoker,Q1435005,288,practice of smoking several cigarettes/cigars in succession,Low-importance
129,Chain_smoker,Q1435005,1123,practice of smoking several cigarettes/cigars in succession,Low-importance
130,Chain_smoking,Q1435005,56710,practice of smoking several cigarettes/cigars in succession,Low-importance
131,Charles_A._Elcan,Q22073601,209,American business executive,Low-importance
132,Charles_Atlas,Q368744,51392,American bodybuilder (1892–1972),Low-importance
133,Chester_Yorton,Q984095,116,bodybuilder (1940–2020),Low-importance
134,Childhood_dementia,Q130781538,600,group of neurodegenerative conditions,Low-importance
135,Childhood_obesity,Q3241451,22981,condition where excess body fat negatively affects a child's health or well-being,Mid-importance
136,Children's_Healthcare_of_Atlanta,Q23074176,558,"hospital in Georgia, United States",Mid-importance
137,Chinese_laundry,Q852100,1720,process of washing textiles,Low-importance
138,Christian_diet_programs,Q4903085,1308,eating practice intended to promote health in Christian culture,Low-importance
139,Cigarette,Q1578,421516,small roll of cut drug (typically tobacco) designed to be smoked,Mid-importance
140,Cigarette_filter,Q2361201,147142,cigarette component,Unknown-importance
141,Cigarette_smoking,Q7212330,1171,practice of burning tobacco and inhaling the resulting smoke,High-importance
142,Circuit_training,Q205821,183,training to develop endurance and strength simultaneously,Low-importance
143,Cistern,Q838858,250493,"artificial reservoirs for the storage of water, typically water-tight tanks in a high part of a building or underground",Mid-importance
144,ClassPass,Q19864979,429,American fitness startup company based in New York City,Low-importance
145,Clean_eating,Q25459466,3096,consumption of foods that are considered healthy for the body,Low-importance
146,Cleanliness,Q692096,130,abstract state of being clean and free from dirt,Low-importance
147,Cleavage_(breasts),Q2087952,135799,full or partial exposure of the separation between a woman's breasts by clothing,Low-importance
148,Cleverman,Q113159137,180,Australian Aboriginal spiritual healers,Low-importance
149,Clinical_coder,Q116494,5441,health care professional whose main duties are to analyse clinical statements and assign standard codes using a classification system,Low-importance
150,Clinical_depression,Q42844,760444,"all-encompassing low mood accompanied by low self-esteem, and by loss of interest or pleasure in normally enjoyable activities",High-importance
151,Coach_(sport),Q41583,142,"person involved in directing, instructing and training sportspeople",High-importance
152,Cognitive_load,Q1107019,6831,"effort being used in the working memory, which can be differentiated into three types: intrinsic, extraneous, and germane",Unknown-importance
153,Cognitive_shuffle,Q123561006,985,"Cognitive strategy meant to facilitate initial sleep onset, or subsequent sleep onset after the initial sleep",Low-importance
154,Colgate_(toothpaste),Q2523492,4738,brand of toothpaste,Low-importance
155,Comb,Q23834,496,"toothed device used for styling, cleaning and managing hair and scalp",Low-importance
156,Commodity_Supplemental_Food_Program,Q28402615,292,United States food assistance program,Low-importance
157,CommonSpirit_Health,Q85753582,24508,hospital network in the United States,Unknown-importance
158,Community_health,Q3473024,1623,field of public health focusing on the health of communities,Unknown-importance
159,Connecticut_Death_Index,Q5161508,936,public health data,Low-importance
160,Consent,Q231043,10924,expression granting permission to proceed with a proposal,Mid-importance
161,Cookie_diet,Q5167095,110,fad diet,Low-importance
162,Corizon,Q5172791,483,privately held prison healthcare contractor,Mid-importance
163,Craniocervical_instability,Q85754469,3954,Medical condition affecting the cervical spine,Unknown-importance
164,Crash_diet,Q4310180,156,diet with very or extremely low daily food energy consumption,Mid-importance
165,Crest_(toothpaste),Q3002499,206,brand of oral hygiene products made by Procter & Gamble,Low-importance
166,CrossFit,Q2072840,128857,branded fitness regimen,Low-importance
167,CrossFit_Games,Q17522146,47027,Athletic competition organized by Crossfit Inc.,Mid-importance
168,Cruciferous_vegetables,Q5189799,396425,vegetables of the family Brassicaceae,Low-importance
169,Crunch_(exercise),Q811154,2959,abdominal excercise,Mid-importance
170,Crunch_Fitness,Q5190093,5551,Canadian multinational fitness center chain,Low-importance
171,Curves_International,Q5196080,111,US international fitness center chain,Low-importance
172,Cycling,Q53121,9888,"riding a bicycle (transportation, sport, exercise, recreation...)",Unknown-importance
173,Cynthia_Kereluk,Q5200093,6569,Canadian exercise guru,Unknown-importance
174,DASH_diet,Q5204325,38310,dietary pattern intended to prevent and control hypertension,Mid-importance
175,Dabur,Q2723075,132,Indian manufacturer,Mid-importance
176,Dad_bod,Q25108667,28088,type of male physique,Low-importance
177,Dan_Wikler,Q5214593,3144,American philosopher,Low-importance
178,Dance_Dance_Revolution,Q908392,72884,video game series,Low-importance
179,Dandruff,Q117484,108897,skin condition mainly affecting the scalp causing flaking and itchiness,Mid-importance
180,Daniel_Fast,Q17001964,77512,10- or 21-day abstinence from foods declared unclean by God in the Laws of Moses,Unknown-importance
181,Darlie,Q701133,1174,brand of toothpaste,Low-importance
182,Dave_Asprey,Q19559986,80612,"Entrepreneur, businessman, biohacker and author",Low-importance
183,David_L._Katz,Q15429303,243,American physician,Low-importance
184,David_Laid,Q130416875,4223,American fitness influencer (born 1990s),Unknown-importance
185,David_McLean_(actor),Q3018429,5829,American film and television actor (1922-1995),Low-importance
186,Deadlift,Q608288,132783,exercise and power sport,Unknown-importance
187,Dean_Ornish,Q1181109,9952,American physician and photographer (1953- ),Low-importance
188,Deathcare,Q109297311,188,"planning, provision, and improvement of post-death services",Low-importance
189,Deconditioning,Q5249582,109,adaptation of an organism to less demanding environment or the decrease of physiological adaptation to normal conditions,Mid-importance
190,Decriminalization_of_sex_work,Q17001582,90,removal of criminal penalties for sex work,Low-importance
191,Delisting_(Canadian_medicare),Q6806631,176,"Canada's publicly funded, single-payer health care system",High-importance
192,Denise_Austin,Q5257615,120100,"American fitness instructor, author, and columnist",Unknown-importance
193,Dental_floss,Q143978,11645,cord of thin filaments used to clean teeth,High-importance
194,Department_of_Health_(Philippines),Q3545669,98,Philippine government agency,Unknown-importance
195,Department_of_Veterans_Affairs,Q592576,3434,department of the United States government,Low-importance
196,Depression_(mood),Q4340209,360444,state of low mood and aversion to activity,Mid-importance
197,Depression_Quest,Q18149194,8121,2013 video game,Low-importance
198,Dettol,Q15061688,8037,brand of antiseptic and cleaning supplies,Low-importance
199,Dip_(exercise),Q43417,119,type of bodyweight exercise,Unknown-importance
200,Disabilities,Q12131,524,"impairments, activity and participation limitations of a person",Unknown-importance
201,Disability,Q12131,117983,"impairments, activity and participation limitations of a person",Unknown-importance
202,Disability-adjusted_life_year,Q55627,2110,"health indicator combining severity and duration of disease and loss of life. Can be measured as numbers of healthy years lost in a population, or as rate divided by person-time lived.",Mid-importance
203,Disability_in_Iran,Q56361705,144,,Unknown-importance
204,Disease,Q12136,382494,abnormal condition negatively affecting organisms,High-importance
205,Disinfectant,Q73984,5671,antimicrobial agent that is applied to non-living objects (compare: antisepsis) to reduce the number of microorganisms (unwanted germs and parasites) on them (compare:sterilization),Low-importance
206,Disposable_vapes,Q189511,703,device usually used to quit or be an alternative to tobacco,Low-importance
207,DoTerra,Q18149972,21459,American multi-level marketing company,Low-importance
208,Dopamine_fasting,Q85757440,24865,temporary abstinence from addictive technologies,Unknown-importance
209,Doramad_Radioactive_Toothpaste,Q1243726,2686,radioactive toothpaste produced on Germany,Low-importance
210,Double_Dutch_(jump_rope),Q960858,7687,game of skill,Low-importance
211,Doug_Brignole,Q116206795,3153,American bodybuilder and fitness coach,Unknown-importance
212,Dove_(Unilever_brand),Q962709,2362,personal care brand owned by Unilever,Low-importance
213,Dove_(toiletries),Q962709,17338,personal care brand owned by Unilever,Low-importance
